,RET
418872,False
418873,False
418874,True
418875,False
418876,False
418877,True
418878,True
418879,True
418880,True
418881,False
418882,True
418883,True
418884,False
418885,True
418886,False
418887,False
418888,False
418889,False
418890,False
418891,True
418892,False
418893,True
418894,True
418895,True
418896,True
418897,False
418898,False
418899,True
418900,True
418901,False
418902,False
418903,False
418904,False
418905,False
418906,False
418907,True
418908,True
418909,False
418910,True
418911,True
418912,False
418913,False
418914,True
418915,True
418916,True
418917,True
418918,False
418919,True
418920,True
418921,True
418922,True
418923,True
418924,False
418925,False
418926,True
418927,True
418928,True
418929,True
418930,False
418931,True
418932,False
418933,True
418934,False
418935,True
418936,True
418937,False
418938,True
418939,True
418940,False
418941,True
418942,True
418943,False
418944,False
418945,True
418946,True
418947,True
418948,True
418949,True
418950,False
418951,True
418952,True
418953,True
418954,False
418955,False
418956,False
418957,False
418958,False
418959,False
418960,False
418961,True
418962,False
418963,False
418964,False
418965,False
418966,False
418967,False
418968,True
418969,True
418970,False
418971,True
418972,True
418973,True
418974,True
418975,True
418976,False
418977,True
418978,True
418979,False
418980,True
418981,False
418982,False
418983,True
418984,True
418985,False
418986,True
418987,True
418988,False
418989,True
418990,False
418991,True
418992,False
418993,True
418994,False
418995,True
418996,False
418997,False
418998,False
418999,False
419000,True
419001,True
419002,False
419003,True
419004,True
419005,True
419006,True
419007,False
419008,True
419009,True
419010,True
419011,True
419012,True
419013,True
419014,True
419015,False
419016,True
419017,False
419018,True
419019,False
419020,True
419021,False
419022,True
419023,True
419024,True
419025,True
419026,True
419027,True
419028,False
419029,True
419030,True
419031,True
419032,False
419033,False
419034,False
419035,True
419036,False
419037,True
419038,True
419039,True
419040,True
419041,True
419042,True
419043,False
419044,True
419045,False
419046,True
419047,False
419048,True
419049,False
419050,False
419051,False
419052,True
419053,False
419054,True
419055,True
419056,True
419057,True
419058,False
419059,True
419060,True
419061,True
419062,True
419063,True
419064,False
419065,True
419066,False
419067,True
419068,True
419069,True
419070,True
419071,True
419072,True
419073,True
419074,True
419075,True
419076,True
419077,False
419078,True
419079,False
419080,False
419081,True
419082,False
419083,True
419084,False
419085,False
419086,False
419087,True
419088,True
419089,True
419090,True
419091,True
419092,True
419093,False
419094,False
419095,False
419096,True
419097,False
419098,True
419099,False
419100,False
419101,True
419102,True
419103,True
419104,False
419105,False
419106,True
419107,True
419108,False
419109,True
419110,True
419111,True
419112,False
419113,False
419114,True
419115,True
419116,True
419117,False
419118,True
419119,False
419120,True
419121,True
419122,True
419123,False
419124,True
419125,True
419126,True
419127,True
419128,True
419129,True
419130,True
419131,True
419132,False
419133,False
419134,True
419135,False
419136,False
419137,False
419138,False
419139,False
419140,True
419141,True
419142,True
419143,False
419144,False
419145,False
419146,True
419147,False
419148,False
419149,False
419150,False
419151,True
419152,False
419153,True
419154,True
419155,False
419156,False
419157,True
419158,False
419159,False
419160,False
419161,False
419162,False
419163,False
419164,True
419165,False
419166,False
419167,False
419168,False
419169,True
419170,True
419171,True
419172,True
419173,True
419174,False
419175,False
419176,True
419177,False
419178,False
419179,True
419180,True
419181,True
419182,False
419183,True
419184,True
419185,True
419186,True
419187,True
419188,True
419189,False
419190,True
419191,False
419192,False
419193,True
419194,False
419195,False
419196,False
419197,True
419198,True
419199,True
419200,False
419201,True
419202,False
419203,True
419204,False
419205,False
419206,False
419207,False
419208,True
419209,False
419210,False
419211,False
419212,True
419213,True
419214,False
419215,False
419216,True
419217,False
419218,False
419219,False
419220,True
419221,True
419222,False
419223,False
419224,False
419225,False
419226,False
419227,False
419228,True
419229,False
419230,False
419231,False
419232,False
419233,False
419234,True
419235,False
419236,True
419237,True
419238,True
419239,True
419240,True
419241,True
419242,False
419243,True
419244,True
419245,False
419246,True
419247,True
419248,True
419249,True
419250,True
419251,True
419252,True
419253,True
419254,True
419255,True
419256,False
419257,True
419258,True
419259,True
419260,False
419261,True
419262,True
419263,True
419264,False
419265,False
419266,False
419267,False
419268,False
419269,True
419270,False
419271,False
419272,True
419273,True
419274,False
419275,False
419276,True
419277,False
419278,False
419279,False
419280,False
419281,False
419282,False
419283,False
419284,True
419285,True
419286,False
419287,False
419288,True
419289,True
419290,False
419291,False
419292,True
419293,False
419294,False
419295,True
419296,False
419297,True
419298,True
419299,True
419300,False
419301,True
419302,True
419303,True
419304,True
419305,True
419306,False
419307,True
419308,True
419309,True
419310,True
419311,True
419312,True
419313,True
419314,False
419315,True
419316,True
419317,True
419318,True
419319,False
419320,True
419321,True
419322,True
419323,True
419324,True
419325,True
419326,True
419327,True
419328,False
419329,False
419330,True
419331,False
419332,False
419333,True
419334,False
419335,False
419336,True
419337,True
419338,True
419339,True
419340,True
419341,False
419342,True
419343,False
419344,True
419345,False
419346,True
419347,False
419348,True
419349,False
419350,False
419351,True
419352,True
419353,False
419354,False
419355,True
419356,False
419357,True
419358,True
419359,True
419360,True
419361,True
419362,True
419363,True
419364,True
419365,True
419366,True
419367,False
419368,True
419369,True
419370,False
419371,True
419372,True
419373,True
419374,True
419375,False
419376,True
419377,True
419378,True
419379,False
419380,True
419381,True
419382,True
419383,True
419384,False
419385,False
419386,False
419387,True
419388,False
419389,True
419390,False
419391,True
419392,True
419393,False
419394,True
419395,True
419396,True
419397,True
419398,True
419399,True
419400,False
419401,False
419402,True
419403,True
419404,False
419405,True
419406,True
419407,False
419408,True
419409,True
419410,True
419411,True
419412,True
419413,True
419414,False
419415,False
419416,True
419417,False
419418,True
419419,True
419420,True
419421,True
419422,True
419423,True
419424,True
419425,False
419426,True
419427,True
419428,True
419429,True
419430,False
419431,False
419432,True
419433,True
419434,True
419435,True
419436,True
419437,True
419438,True
419439,True
419440,False
419441,True
419442,True
419443,True
419444,False
419445,False
419446,True
419447,False
419448,False
419449,False
419450,True
419451,True
419452,True
419453,False
419454,False
419455,True
419456,True
419457,False
419458,True
419459,True
419460,False
419461,True
419462,True
419463,True
419464,False
419465,False
419466,True
419467,True
419468,False
419469,True
419470,False
419471,False
419472,True
419473,True
419474,True
419475,True
419476,True
419477,True
419478,False
419479,True
419480,True
419481,False
419482,True
419483,True
419484,False
419485,False
419486,True
419487,False
419488,False
419489,True
419490,True
419491,True
419492,True
419493,True
419494,True
419495,True
419496,True
419497,True
419498,False
419499,True
419500,False
419501,True
419502,True
419503,True
419504,False
419505,True
419506,False
419507,True
419508,False
419509,False
419510,False
419511,False
419512,True
419513,False
419514,False
419515,True
419516,False
419517,True
419518,True
419519,False
419520,False
419521,True
419522,True
419523,True
419524,True
419525,False
419526,False
419527,False
419528,False
419529,True
419530,False
419531,True
419532,True
419533,False
419534,False
419535,False
419536,True
419537,True
419538,False
419539,True
419540,True
419541,False
419542,False
419543,True
419544,False
419545,True
419546,False
419547,False
419548,False
419549,False
419550,True
419551,True
419552,True
419553,True
419554,True
419555,True
419556,True
419557,True
419558,True
419559,True
419560,True
419561,False
419562,True
419563,True
419564,False
419565,False
419566,True
419567,False
419568,True
419569,False
419570,False
419571,True
419572,True
419573,True
419574,False
419575,True
419576,True
419577,True
419578,False
419579,False
419580,False
419581,True
419582,True
419583,True
419584,True
419585,True
419586,True
419587,False
419588,True
419589,True
419590,True
419591,False
419592,False
419593,False
419594,False
419595,True
419596,True
419597,True
419598,True
419599,True
419600,False
419601,True
419602,True
419603,True
419604,True
419605,True
419606,True
419607,True
419608,False
419609,False
419610,False
419611,True
419612,True
419613,False
419614,True
419615,True
419616,True
419617,True
419618,True
419619,False
419620,True
419621,True
419622,False
419623,True
419624,True
419625,True
419626,True
419627,False
419628,False
419629,True
419630,True
419631,True
419632,True
419633,True
419634,True
419635,False
419636,False
419637,True
419638,True
419639,True
419640,True
419641,True
419642,True
419643,True
419644,True
419645,False
419646,False
419647,False
419648,False
419649,False
419650,True
419651,True
419652,False
419653,True
419654,False
419655,True
419656,True
419657,True
419658,True
419659,False
419660,True
419661,True
419662,False
419663,False
419664,True
419665,True
419666,False
419667,True
419668,False
419669,False
419670,True
419671,True
419672,False
419673,True
419674,False
419675,True
419676,False
419677,False
419678,True
419679,True
419680,True
419681,True
419682,True
419683,True
419684,True
419685,True
419686,True
419687,True
419688,False
419689,True
419690,True
419691,True
419692,True
419693,True
419694,True
419695,True
419696,True
419697,True
419698,True
419699,True
419700,True
419701,True
419702,True
419703,True
419704,False
419705,True
419706,False
419707,True
419708,True
419709,True
419710,False
419711,False
419712,True
419713,True
419714,False
419715,True
419716,True
419717,True
419718,True
419719,True
419720,True
419721,True
419722,True
419723,True
419724,False
419725,True
419726,True
419727,True
419728,True
419729,False
419730,True
419731,True
419732,True
419733,True
419734,True
419735,True
419736,False
419737,True
419738,False
419739,True
419740,False
419741,False
419742,True
419743,True
419744,True
419745,True
419746,True
419747,False
419748,False
419749,True
419750,True
419751,True
419752,True
419753,True
419754,True
419755,True
419756,False
419757,True
419758,True
419759,False
419760,False
419761,True
419762,True
419763,False
419764,False
419765,True
419766,True
419767,True
419768,True
419769,True
419770,True
419771,True
419772,True
419773,False
419774,True
419775,True
419776,True
419777,False
419778,False
419779,True
419780,False
419781,True
419782,False
419783,False
419784,True
419785,True
419786,True
419787,True
419788,False
419789,True
419790,True
419791,True
419792,True
419793,True
419794,True
419795,True
419796,True
419797,True
419798,True
419799,True
419800,False
419801,False
419802,False
419803,True
419804,True
419805,True
419806,True
419807,True
419808,True
419809,True
419810,True
419811,False
419812,True
419813,True
419814,True
419815,False
419816,True
419817,True
419818,True
419819,True
419820,False
419821,True
419822,True
419823,True
419824,True
419825,True
419826,True
419827,True
419828,False
419829,True
419830,True
419831,True
419832,False
419833,True
419834,False
419835,True
419836,False
419837,True
419838,True
419839,True
419840,True
419841,False
419842,True
419843,True
419844,True
419845,False
419846,True
419847,True
419848,False
419849,True
419850,False
419851,False
419852,False
419853,True
419854,True
419855,True
419856,False
419857,False
419858,True
419859,True
419860,True
419861,True
419862,False
419863,False
419864,True
419865,True
419866,False
419867,True
419868,True
419869,False
419870,False
419871,False
419872,False
419873,True
419874,True
419875,True
419876,False
419877,False
419878,False
419879,True
419880,True
419881,True
419882,False
419883,True
419884,True
419885,True
419886,True
419887,False
419888,True
419889,True
419890,False
419891,True
419892,True
419893,True
419894,True
419895,False
419896,True
419897,True
419898,False
419899,False
419900,True
419901,False
419902,False
419903,False
419904,False
419905,True
419906,False
419907,False
419908,False
419909,True
419910,True
419911,True
419912,True
419913,True
419914,False
419915,False
419916,False
419917,False
419918,False
419919,False
419920,True
419921,True
419922,True
419923,True
419924,True
419925,True
419926,True
419927,True
419928,True
419929,False
419930,True
419931,True
419932,True
419933,False
419934,False
419935,True
419936,True
419937,True
419938,False
419939,False
419940,False
419941,False
419942,True
419943,False
419944,True
419945,True
419946,True
419947,True
419948,True
419949,False
419950,True
419951,False
419952,True
419953,True
419954,False
419955,True
419956,True
419957,False
419958,False
419959,False
419960,True
419961,False
419962,True
419963,True
419964,True
419965,False
419966,True
419967,False
419968,True
419969,True
419970,True
419971,True
419972,True
419973,False
419974,True
419975,False
419976,True
419977,False
419978,True
419979,True
419980,False
419981,True
419982,True
419983,True
419984,False
419985,True
419986,True
419987,True
419988,False
419989,False
419990,True
419991,True
419992,False
419993,True
419994,True
419995,True
419996,True
419997,True
419998,True
419999,True
420000,True
420001,True
420002,True
420003,True
420004,False
420005,True
420006,False
420007,False
420008,False
420009,True
420010,True
420011,True
420012,True
420013,False
420014,True
420015,False
420016,True
420017,False
420018,False
420019,False
420020,False
420021,False
420022,False
420023,False
420024,True
420025,False
420026,True
420027,True
420028,False
420029,False
420030,False
420031,False
420032,False
420033,False
420034,False
420035,True
420036,True
420037,True
420038,True
420039,False
420040,False
420041,False
420042,True
420043,False
420044,False
420045,False
420046,True
420047,False
420048,False
420049,True
420050,True
420051,False
420052,False
420053,False
420054,False
420055,False
420056,True
420057,False
420058,True
420059,True
420060,False
420061,True
420062,True
420063,True
420064,True
420065,False
420066,True
420067,False
420068,True
420069,True
420070,True
420071,True
420072,True
420073,True
420074,True
420075,True
420076,True
420077,False
420078,True
420079,True
420080,True
420081,False
420082,True
420083,False
420084,True
420085,False
420086,False
420087,True
420088,False
420089,True
420090,False
420091,False
420092,False
420093,False
420094,True
420095,False
420096,False
420097,True
420098,True
420099,True
420100,True
420101,False
420102,False
420103,False
420104,True
420105,True
420106,True
420107,True
420108,False
420109,False
420110,True
420111,False
420112,True
420113,True
420114,True
420115,False
420116,False
420117,True
420118,False
420119,False
420120,False
420121,True
420122,True
420123,False
420124,True
420125,True
420126,True
420127,True
420128,True
420129,False
420130,True
420131,False
420132,False
420133,False
420134,False
420135,False
420136,False
420137,True
420138,False
420139,True
420140,False
420141,True
420142,True
420143,True
420144,True
420145,False
420146,True
420147,True
420148,True
420149,True
420150,True
420151,True
420152,False
420153,True
420154,True
420155,False
420156,False
420157,True
420158,True
420159,True
420160,False
420161,True
420162,False
420163,False
420164,False
420165,False
420166,True
420167,True
420168,False
420169,False
420170,True
420171,True
420172,False
420173,False
420174,False
420175,True
420176,True
420177,True
420178,True
420179,True
420180,True
420181,True
420182,False
420183,False
420184,True
420185,True
420186,False
420187,True
420188,False
420189,True
420190,False
420191,True
420192,False
420193,False
420194,True
420195,True
420196,True
420197,False
420198,False
420199,False
420200,True
420201,True
420202,True
420203,False
420204,False
420205,True
420206,True
420207,False
420208,True
420209,False
420210,True
420211,True
420212,True
420213,True
420214,True
420215,True
420216,True
420217,False
420218,True
420219,True
420220,False
420221,True
420222,True
420223,True
420224,True
420225,True
420226,True
420227,True
420228,False
420229,True
420230,False
420231,True
420232,True
420233,False
420234,True
420235,True
420236,True
420237,False
420238,True
420239,False
420240,False
420241,False
420242,False
420243,False
420244,False
420245,True
420246,True
420247,False
420248,True
420249,False
420250,True
420251,True
420252,False
420253,True
420254,False
420255,False
420256,True
420257,True
420258,True
420259,True
420260,False
420261,True
420262,True
420263,True
420264,True
420265,True
420266,False
420267,False
420268,True
420269,False
420270,True
420271,True
420272,True
420273,True
420274,True
420275,False
420276,False
420277,False
420278,True
420279,False
420280,True
420281,True
420282,True
420283,True
420284,True
420285,False
420286,False
420287,False
420288,False
420289,False
420290,False
420291,True
420292,True
420293,True
420294,False
420295,False
420296,False
420297,False
420298,True
420299,False
420300,False
420301,True
420302,True
420303,False
420304,True
420305,True
420306,True
420307,False
420308,False
420309,True
420310,False
420311,False
420312,False
420313,False
420314,True
420315,False
420316,False
420317,False
420318,False
420319,False
420320,True
420321,True
420322,True
420323,True
420324,False
420325,True
420326,False
420327,True
420328,False
420329,True
420330,True
420331,True
420332,True
420333,True
420334,False
420335,False
420336,True
420337,False
420338,True
420339,True
420340,False
420341,True
420342,False
420343,False
420344,True
420345,False
420346,True
420347,True
420348,True
420349,True
420350,False
420351,True
420352,False
420353,False
420354,False
420355,True
420356,True
420357,False
420358,False
420359,True
420360,True
420361,True
420362,False
420363,True
420364,True
420365,False
420366,False
420367,False
420368,True
420369,True
420370,True
420371,False
420372,False
420373,True
420374,False
420375,True
420376,False
420377,False
420378,True
420379,False
420380,True
420381,True
420382,True
420383,True
420384,False
420385,True
420386,True
420387,True
420388,True
420389,True
420390,False
420391,True
420392,False
420393,True
420394,False
420395,True
420396,False
420397,True
420398,True
420399,False
420400,True
420401,False
420402,True
420403,False
420404,True
420405,True
420406,True
420407,False
420408,True
420409,False
420410,True
420411,False
420412,True
420413,False
420414,False
420415,False
420416,False
420417,True
420418,True
420419,True
420420,True
420421,True
420422,True
420423,True
420424,False
420425,True
420426,True
420427,False
420428,False
420429,False
420430,True
420431,True
420432,False
420433,True
420434,False
420435,False
420436,True
420437,False
420438,True
420439,True
420440,False
420441,False
420442,True
420443,True
420444,False
420445,True
420446,True
420447,False
420448,True
420449,True
420450,True
420451,True
420452,True
420453,True
420454,True
420455,True
420456,True
420457,True
420458,False
420459,True
420460,True
420461,True
420462,True
420463,True
420464,True
420465,False
420466,True
420467,False
420468,True
420469,False
420470,False
420471,False
420472,False
420473,False
420474,False
420475,True
420476,True
420477,False
420478,False
420479,False
420480,False
420481,True
420482,True
420483,False
420484,True
420485,True
420486,True
420487,True
420488,False
420489,False
420490,False
420491,True
420492,True
420493,False
420494,False
420495,True
420496,False
420497,True
420498,True
420499,False
420500,True
420501,False
420502,False
420503,False
420504,False
420505,True
420506,True
420507,True
420508,True
420509,False
420510,True
420511,True
420512,True
420513,False
420514,False
420515,True
420516,False
420517,False
420518,False
420519,True
420520,False
420521,True
420522,True
420523,True
420524,False
420525,False
420526,True
420527,False
420528,True
420529,True
420530,True
420531,True
420532,False
420533,True
420534,False
420535,True
420536,False
420537,True
420538,False
420539,False
420540,False
420541,False
420542,False
420543,True
420544,False
420545,True
420546,True
420547,True
420548,True
420549,True
420550,False
420551,True
420552,False
420553,False
420554,False
420555,True
420556,True
420557,False
420558,True
420559,True
420560,False
420561,False
420562,False
420563,False
420564,False
420565,True
420566,False
420567,False
420568,True
420569,True
420570,True
420571,True
420572,True
420573,False
420574,True
420575,False
420576,False
420577,False
420578,True
420579,False
420580,False
420581,True
420582,True
420583,False
420584,True
420585,False
420586,False
420587,True
420588,False
420589,True
420590,True
420591,False
420592,True
420593,False
420594,True
420595,True
420596,True
420597,True
420598,True
420599,True
420600,True
420601,True
420602,False
420603,True
420604,True
420605,True
420606,False
420607,True
420608,False
420609,True
420610,False
420611,False
420612,True
420613,False
420614,True
420615,False
420616,True
420617,True
420618,True
420619,True
420620,True
420621,False
420622,True
420623,True
420624,True
420625,True
420626,False
420627,True
420628,True
420629,True
420630,True
420631,True
420632,False
420633,False
420634,True
420635,False
420636,False
420637,True
420638,False
420639,True
420640,False
420641,False
420642,False
420643,True
420644,False
420645,False
420646,True
420647,False
420648,True
420649,False
420650,True
420651,True
420652,True
420653,True
420654,True
420655,True
420656,True
420657,False
420658,False
420659,True
420660,False
420661,False
420662,False
420663,False
420664,False
420665,False
420666,False
420667,True
420668,False
420669,False
420670,True
420671,True
420672,False
420673,True
420674,False
420675,True
420676,False
420677,False
420678,False
420679,False
420680,True
420681,False
420682,True
420683,True
420684,True
420685,False
420686,True
420687,False
420688,False
420689,False
420690,False
420691,True
420692,True
420693,False
420694,False
420695,False
420696,False
420697,False
420698,True
420699,True
420700,True
420701,False
420702,False
420703,True
420704,True
420705,False
420706,False
420707,False
420708,False
420709,True
420710,True
420711,False
420712,False
420713,False
420714,True
420715,True
420716,False
420717,False
420718,False
420719,False
420720,True
420721,True
420722,True
420723,True
420724,True
420725,False
420726,True
420727,False
420728,True
420729,False
420730,True
420731,False
420732,True
420733,False
420734,True
420735,True
420736,False
420737,True
420738,True
420739,True
420740,False
420741,False
420742,True
420743,False
420744,True
420745,True
420746,True
420747,False
420748,True
420749,True
420750,True
420751,False
420752,True
420753,False
420754,False
420755,True
420756,True
420757,False
420758,True
420759,False
420760,False
420761,False
420762,False
420763,True
420764,False
420765,True
420766,True
420767,True
420768,True
420769,True
420770,False
420771,False
420772,True
420773,False
420774,False
420775,False
420776,False
420777,True
420778,True
420779,True
420780,True
420781,False
420782,True
420783,False
420784,False
420785,False
420786,False
420787,True
420788,True
420789,True
420790,False
420791,True
420792,True
420793,True
420794,False
420795,True
420796,True
420797,False
420798,False
420799,False
420800,False
420801,False
420802,False
420803,True
420804,True
420805,True
420806,True
420807,False
420808,True
420809,False
420810,True
420811,False
420812,False
420813,False
420814,True
420815,True
420816,True
420817,True
420818,True
420819,False
420820,False
420821,True
420822,True
420823,False
420824,True
420825,False
420826,False
420827,True
420828,True
420829,True
420830,False
420831,True
420832,True
420833,False
420834,True
420835,False
420836,False
420837,True
420838,True
420839,False
420840,False
420841,True
420842,True
420843,True
420844,True
420845,False
420846,False
420847,False
420848,False
420849,False
420850,True
420851,False
420852,True
420853,True
420854,False
420855,True
420856,True
420857,True
420858,False
420859,False
420860,False
420861,True
420862,False
420863,False
420864,True
420865,True
420866,False
420867,False
420868,True
420869,False
420870,True
420871,False
420872,False
420873,True
420874,True
420875,False
420876,True
420877,False
420878,True
420879,True
420880,False
420881,False
420882,True
420883,True
420884,True
420885,False
420886,True
420887,False
420888,True
420889,False
420890,False
420891,False
420892,True
420893,True
420894,False
420895,True
420896,True
420897,True
420898,False
420899,False
420900,True
420901,False
420902,True
420903,True
420904,True
420905,True
420906,True
420907,True
420908,False
420909,False
420910,True
420911,False
420912,False
420913,False
420914,False
420915,True
420916,True
420917,True
420918,False
420919,False
420920,True
420921,True
420922,True
420923,False
420924,True
420925,False
420926,True
420927,False
420928,False
420929,False
420930,True
420931,True
420932,True
420933,False
420934,True
420935,False
420936,True
420937,True
420938,True
420939,False
420940,False
420941,False
420942,True
420943,True
420944,False
420945,True
420946,True
420947,True
420948,False
420949,False
420950,False
420951,True
420952,True
420953,True
420954,True
420955,True
420956,False
420957,False
420958,True
420959,True
420960,False
420961,True
420962,False
420963,True
420964,True
420965,True
420966,False
420967,False
420968,False
420969,True
420970,True
420971,False
420972,True
420973,True
420974,False
420975,True
420976,False
420977,True
420978,False
420979,False
420980,True
420981,False
420982,False
420983,False
420984,False
420985,False
420986,True
420987,False
420988,False
420989,False
420990,True
420991,True
420992,False
420993,True
420994,False
420995,False
420996,False
420997,True
420998,False
420999,True
421000,True
421001,True
421002,False
421003,True
421004,True
421005,False
421006,False
421007,True
421008,True
421009,True
421010,False
421011,False
421012,False
421013,False
421014,True
421015,False
421016,False
421017,False
421018,False
421019,False
421020,True
421021,True
421022,True
421023,False
421024,False
421025,True
421026,True
421027,True
421028,True
421029,True
421030,False
421031,True
421032,True
421033,False
421034,False
421035,False
421036,True
421037,True
421038,True
421039,True
421040,False
421041,True
421042,True
421043,False
421044,True
421045,False
421046,False
421047,True
421048,False
421049,False
421050,False
421051,True
421052,False
421053,False
421054,False
421055,False
421056,False
421057,True
421058,True
421059,True
421060,False
421061,True
421062,True
421063,True
421064,False
421065,False
421066,True
421067,False
421068,False
421069,True
421070,True
421071,False
421072,True
421073,True
421074,True
421075,True
421076,True
421077,True
421078,True
421079,False
421080,True
421081,False
421082,True
421083,False
421084,False
421085,True
421086,True
421087,True
421088,False
421089,False
421090,True
421091,False
421092,True
421093,True
421094,True
421095,True
421096,True
421097,False
421098,False
421099,True
421100,True
421101,True
421102,True
421103,False
421104,True
421105,True
421106,True
421107,False
421108,False
421109,False
421110,True
421111,False
421112,True
421113,False
421114,False
421115,False
421116,False
421117,False
421118,False
421119,False
421120,True
421121,False
421122,True
421123,False
421124,True
421125,True
421126,True
421127,False
421128,True
421129,False
421130,False
421131,False
421132,False
421133,True
421134,False
421135,True
421136,True
421137,True
421138,False
421139,True
421140,True
421141,True
421142,False
421143,False
421144,True
421145,False
421146,True
421147,False
421148,True
421149,True
421150,True
421151,True
421152,False
421153,True
421154,False
421155,False
421156,True
421157,True
421158,True
421159,True
421160,False
421161,False
421162,True
421163,False
421164,False
421165,True
421166,True
421167,True
421168,False
421169,True
421170,True
421171,False
421172,True
421173,True
421174,False
421175,True
421176,False
421177,False
421178,True
421179,True
421180,True
421181,False
421182,True
421183,True
421184,True
421185,False
421186,True
421187,True
421188,False
421189,True
421190,False
421191,False
421192,False
421193,True
421194,True
421195,True
421196,False
421197,True
421198,False
421199,False
421200,False
421201,False
421202,True
421203,False
421204,True
421205,False
421206,False
421207,False
421208,False
421209,False
421210,True
421211,False
421212,False
421213,False
421214,True
421215,True
421216,True
421217,False
421218,False
421219,False
421220,False
421221,True
421222,True
421223,False
421224,False
421225,False
421226,True
421227,False
421228,False
421229,True
421230,False
421231,True
421232,False
421233,True
421234,True
421235,True
421236,True
421237,True
421238,False
421239,True
421240,True
421241,False
421242,True
421243,True
421244,True
421245,True
421246,True
421247,True
421248,True
421249,False
421250,False
421251,False
421252,False
421253,False
421254,True
421255,False
421256,True
421257,True
421258,False
421259,False
421260,False
421261,False
421262,True
421263,False
421264,True
421265,True
421266,True
421267,False
421268,False
421269,False
421270,False
421271,False
421272,True
421273,True
421274,False
421275,False
421276,True
421277,True
421278,True
421279,False
421280,True
421281,True
421282,True
421283,True
421284,False
421285,True
421286,True
421287,True
421288,True
421289,False
421290,True
421291,True
421292,True
421293,True
421294,True
421295,False
421296,False
421297,True
421298,True
421299,False
421300,True
421301,True
421302,True
421303,True
421304,True
421305,True
421306,False
421307,False
421308,True
421309,True
421310,True
421311,True
421312,True
421313,True
421314,False
421315,False
421316,False
421317,False
421318,True
421319,False
421320,True
421321,True
421322,True
421323,True
421324,True
421325,False
421326,True
421327,True
421328,False
421329,True
421330,False
421331,True
421332,False
421333,True
421334,False
421335,False
421336,True
421337,True
421338,False
421339,False
421340,False
421341,True
421342,False
421343,True
421344,False
421345,True
421346,True
421347,True
421348,True
421349,True
421350,False
421351,True
421352,True
421353,True
421354,True
421355,False
421356,False
421357,False
421358,False
421359,True
421360,True
421361,True
421362,True
421363,True
421364,False
421365,True
421366,True
421367,True
421368,True
421369,True
421370,False
421371,True
421372,False
421373,True
421374,True
421375,True
421376,False
421377,False
421378,False
421379,True
421380,False
421381,True
421382,True
421383,True
421384,False
421385,True
421386,True
421387,True
421388,True
421389,True
421390,False
421391,False
421392,False
